Nome,Status,Bucket,Descrição,Checklist,Tempo,Prioridade,Link GitHub,Data Início,Data Fim,Tags,Notas
4.4 Comparação Gold vs Antiga,⬜ To Do,⭐ SEMANA 4 - Gold,"Validação final: comparar gold_ouvidoria_analitica vs tb_ouvidoria_analitica.","☐ Mesma contagem de registros
☐ Campos principais iguais
☐ Diferenças documentadas",2 horas,🔴 Alta,https://github.com/seu-usuario/pipeline-ouvidoria,,,Validação|Checkpoint,VALIDAÇÃO CRÍTICA FINAL
4.5 Criar DAG Airflow,⬜ To Do,⭐ SEMANA 4 - Gold,"Desenvolver DAG completa de orquestração Bronze→Silver→Gold.","☐ Arquivo DAG criado
☐ Todas tasks definidas
☐ Dependências corretas",1 hora,🔴 Alta,https://github.com/seu-usuario/pipeline-ouvidoria,,,Desenvolvimento|Airflow,
4.6 Testar DAG localmente,⬜ To Do,⭐ SEMANA 4 - Gold,"Testar DAG no Airflow UI antes de schedule.","☐ DAG visível no Airflow
☐ Sem erros de sintaxe
☐ Tasks aparecem corretamente",30 min,🔴 Alta,https://github.com/seu-usuario/pipeline-ouvidoria,,,Teste|Airflow,
4.7 Executar pipeline completo,⬜ To Do,⭐ SEMANA 4 - Gold,"Primeira execução end-to-end: Bronze→Silver→Gold.","☐ Bronze executado sem erros
☐ Silver executado sem erros
☐ Gold executado sem erros
☐ Validações passaram",1 hora,🔴 Alta,https://github.com/seu-usuario/pipeline-ouvidoria,,,Teste|Pipeline,PRIMEIRA EXECUÇÃO COMPLETA!
4.8 Configurar schedule,⬜ To Do,⭐ SEMANA 4 - Gold,"Agendar execução diária do pipeline para às 6h da manhã.","☐ Cron configurado (0 6 * * *)
☐ DAG ativada
☐ Testado",15 min,🟡 Média,https://github.com/seu-usuario/pipeline-ouvidoria,,,Configuração|Airflow,
4.9 Logs e monitoramento,⬜ To Do,⭐ SEMANA 4 - Gold,"Configurar sistema de logs estruturados.","☐ Logs em arquivo
☐ Formato consistente
☐ Rotação configurada",30 min,🟡 Média,https://github.com/seu-usuario/pipeline-ouvidoria,,,Configuração|Logs,
Checkpoint 1 - Bronze,⬜ To Do,✅ VALIDAÇÃO FINAL,"Executar queries de validação da camada Bronze e salvar resultados.","☐ Query contagens executada
☐ Query duplicados executada
☐ Resultados salvos",20 min,🔴 Alta,https://github.com/seu-usuario/pipeline-ouvidoria,,,Validação|Bronze,Ver docs/VALIDACAO.md
Checkpoint 2 - Silver,⬜ To Do,✅ VALIDAÇÃO FINAL,"Executar queries de validação da camada Silver e salvar resultados.","☐ Query contagens executada
☐ Query merge validada
☐ Resultados salvos",20 min,🔴 Alta,https://github.com/seu-usuario/pipeline-ouvidoria,,,Validação|Silver,Ver docs/VALIDACAO.md
Checkpoint 3 - Gold,⬜ To Do,✅ VALIDAÇÃO FINAL,"Validação crítica final comparando nova vs antiga implementação.","☐ Contagens comparadas
☐ Amostragem validada
☐ Diferenças aprovadas",30 min,🔴 Alta,https://github.com/seu-usuario/pipeline-ouvidoria,,,Validação|Gold,CHECKPOINT MAIS IMPORTANTE
Criar README.md,⬜ To Do,📚 DOCUMENTAÇÃO,"Documentar projeto completo no README principal.","☐ Arquitetura descrita
☐ Como executar
☐ Troubleshooting",1 hora,🟡 Média,https://github.com/seu-usuario/pipeline-ouvidoria,,,Documentação,Já criado no setup - revisar e atualizar
Documentar diferenças,⬜ To Do,📚 DOCUMENTAÇÃO,"Listar todas as mudanças vs query monolítica original.","☐ Campos removidos listados
☐ Lógicas alteradas explicadas
☐ Melhorias documentadas",30 min,🟡 Média,https://github.com/seu-usuario/pipeline-ouvidoria,,,Documentação,Importante para stakeholders
